seconds_elapsed,z,y,x
0.020000,-0.0258125200,0.0075414680,-0.0056820530
0.040000,-0.0268497900,0.0058049440,-0.0067532700
0.060000,-0.0265700600,0.0048425470,-0.0042257470
0.080000,-0.0243878000,0.0034493790,-0.0049613790
0.100000,-0.0199986100,-0.0000393587,-0.0087154730
0.120000,-0.0166248100,0.0015250060,-0.0084741590
0.140000,-0.0155121900,0.0006084565,-0.0064347870
0.160000,-0.0152188800,-0.0023520570,-0.0048992570
0.180000,-0.0146547300,-0.0010793310,-0.0059473180
0.200000,-0.0124590200,-0.0006853170,-0.0071810470
0.220000,-0.0122666200,0.0032684660,-0.0069578590
0.240000,-0.0169643700,0.0099686320,-0.0076955570
0.260000,-0.0207006900,0.0093100440,-0.0065950920
0.280000,-0.0228063800,0.0041953910,-0.0033824610
0.300000,-0.0228281100,0.0009706996,0.0006646633
0.320000,-0.0195466300,0.0026008550,0.0018548190
0.340000,-0.0185853800,0.0060532720,-0.0006392271
0.360000,-0.0158765800,0.0061706520,0.0001458860
0.380000,-0.0113037200,0.0045039100,-0.0000671969
0.400000,-0.0121972900,0.0021525810,-0.0028420650
0.420000,-0.0110499100,0.0009266346,-0.0042730090
0.440000,-0.0078873380,0.0001533410,-0.0079538050
0.460000,-0.0128173900,-0.0023677740,-0.0083705020
0.480000,-0.0184360800,-0.0006006829,-0.0070509170
0.500000,-0.0172037800,0.0041453430,-0.0090116770
0.520000,-0.0168703700,0.0057885680,-0.0068736440
0.540000,-0.0178082900,0.0061173750,-0.0068542860
0.560000,-0.0158852900,0.0056268530,-0.0093257690
0.580000,-0.0164192100,0.0051586290,-0.0069272730
0.600000,-0.0174181100,0.0028251820,-0.0086229020
0.620000,-0.0140874500,-0.0000913674,-0.0106460400
0.640000,-0.0105420500,0.0021907040,-0.0082449770
0.660000,-0.0101265200,0.0014838010,-0.0084056300
0.680000,-0.0135763900,-0.0022870440,-0.0074421730
0.700000,-0.0158128500,-0.0020686710,-0.0051444740
0.720000,-0.0144969400,-0.0026630190,-0.0021183450
0.740000,-0.0140897800,-0.0004027134,0.0006992637
0.760000,-0.0135191700,0.0042169710,-0.0014147180
0.780000,-0.0138446300,0.0041115930,-0.0015211850
0.800000,-0.0157239900,0.0014483770,-0.0021028190
0.820000,-0.0139792700,-0.0000451411,-0.0073247140
0.840000,-0.0098125150,0.0026188480,-0.0084942090
0.860000,-0.0081704310,0.0034929630,-0.0094097060
0.880000,-0.0097599910,0.0033984440,-0.0135705500
0.900000,-0.0119348700,0.0057165170,-0.0155209200
0.920000,-0.0132295500,0.0036379230,-0.0132502300
0.940000,-0.0127480600,0.0032868520,-0.0095790070
0.960000,-0.0097184520,0.0026858450,-0.0093051480
0.980000,-0.0080892380,-0.0002618606,-0.0080184810
1.000000,-0.0078453410,0.0021685900,-0.0040818920
1.020000,-0.0052641230,0.0019014240,-0.0018173730
1.040000,-0.0057530620,0.0015166540,-0.0014446920
1.060000,-0.0081137900,0.0027376860,-0.0055573390
1.080000,-0.0054642940,0.0000199084,-0.0098506290
1.100000,-0.0040721880,-0.0007936043,-0.0084622270
1.120000,-0.0027391580,-0.0009518099,-0.0045727050
1.140000,-0.0011372920,0.0019198850,-0.0010777760
1.160000,-0.0069858790,0.0049145330,-0.0015705200
1.180000,-0.0101804900,0.0025233960,-0.0045632490
1.200000,-0.0090946100,0.0022865940,-0.0040422680
1.220000,-0.0121999700,0.0009038649,-0.0025252020
1.240000,-0.0150906200,0.0013550670,-0.0034103170
1.260000,-0.0144698700,0.0052011620,-0.0042151960
1.280000,-0.0123405700,0.0027717170,-0.0041211700
1.300000,-0.0122024000,0.0020347240,-0.0019507240
1.320000,-0.0096427330,0.0022400140,0.0009204618
1.340000,-0.0074766920,-0.0020330700,-0.0031332510
1.360000,-0.0140919200,-0.0030875070,-0.0086148730
1.380000,-0.0169259900,-0.0036493690,-0.0063891510
1.400000,-0.0104832100,-0.0035393090,-0.0021160510
1.420000,-0.0048904310,0.0004709513,0.0008101275
1.440000,-0.0061729390,0.0023606510,0.0007360911
1.460000,-0.0089178420,0.0007768125,-0.0010892530
1.480000,-0.0071957050,-0.0005918084,0.0006649262
1.500000,-0.0081684450,-0.0001849403,0.0016771700
1.520000,-0.0079755810,-0.0012613220,0.0026338640
1.540000,-0.0073625330,-0.0026545150,0.0049114930
1.560000,-0.0147438100,-0.0004056658,0.0032249890
1.580000,-0.0199881900,0.0022644190,0.0023510130
1.600000,-0.0229366900,0.0038997620,0.0033561820
1.620000,-0.0259692000,0.0032146710,0.0034468470
1.640000,-0.0254955500,0.0020212710,0.0046045120
1.660000,-0.0266448900,0.0052449540,0.0036333280
1.680000,-0.0294339300,0.0072335230,0.0006935763
1.700000,-0.0297968700,0.0055303430,-0.0021943130
1.720000,-0.0224483700,0.0044076920,-0.0050306010
1.740000,-0.0141644900,0.0025189690,-0.0068762760
1.760000,-0.0142848600,-0.0002701262,-0.0084837060
1.780000,-0.0119594200,-0.0007025572,-0.0074041820
1.800000,-0.0048366830,0.0002684668,-0.0051570210
1.820000,-0.0021386290,-0.0006815449,-0.0036899580
1.840000,-0.0037752370,-0.0013764460,-0.0011819600
1.860000,-0.0047458890,-0.0019680390,0.0000423979
1.880000,-0.0053971370,-0.0046906130,0.0019719660
1.900000,-0.0090849840,-0.0055832290,0.0027959690
1.920000,-0.0124102200,-0.0053114010,0.0012919830
1.940000,-0.0155022200,-0.0021766410,0.0028080460
1.960000,-0.0177200200,0.0046842050,0.0010483870
1.980000,-0.0140816100,0.0051778410,-0.0024043620
2.000000,-0.0117463600,0.0029745160,-0.0009084995
2.020000,-0.0132609100,0.0033220960,-0.0013928900
2.040000,-0.0128171700,-0.0019195800,-0.0019933040
2.060000,-0.0113801800,-0.0090021370,0.0004040769
2.080000,-0.0065400220,-0.0111783100,0.0008843533
2.100000,-0.0013548730,-0.0116873000,0.0011664780
2.120000,-0.0051412280,-0.0088740690,0.0031294160
2.140000,-0.0103544900,-0.0009827980,0.0036952030
2.160000,-0.0113741500,0.0032228400,0.0026144110
2.180000,-0.0139633800,0.0032110540,0.0020708430
2.200000,-0.0124796300,0.0076155130,0.0008193889
2.220000,-0.0082892490,0.0103996900,-0.0003176855
2.240000,-0.0110935900,0.0065460910,0.0001864519
2.260000,-0.0125934400,0.0029246480,0.0000458186
2.280000,-0.0112005300,0.0013531340,0.0004035398
2.300000,-0.0131313100,0.0020101260,0.0009637902
2.320000,-0.0121520100,0.0033325400,0.0005648367
2.340000,-0.0090542540,0.0023284260,0.0006345403
2.360000,-0.0061295440,-0.0000240549,-0.0000478867
2.380000,-0.0049413730,-0.0036694110,-0.0004916814
2.400000,-0.0091746040,-0.0046466370,0.0007249949
2.420000,-0.0090073730,-0.0014255980,0.0017796540
2.440000,-0.0066716400,-0.0001308708,0.0011825260
2.460000,-0.0094134540,0.0002327620,0.0006307990
2.480000,-0.0076110260,0.0008552974,0.0024156210
2.500000,-0.0054359220,-0.0004476926,0.0033843600
2.520000,-0.0068530850,-0.0023171670,0.0014074420
2.540000,-0.0064885820,-0.0057009260,-0.0025270720
2.560000,-0.0086045490,-0.0071749190,-0.0065230760
