seconds_elapsed,z,y,x
0.020000,0.0096947600,-0.0042741350,-0.0072314890
0.040000,0.0096513950,-0.0109917100,-0.0116192900
0.060000,0.0032226600,-0.0195513900,-0.0163253800
0.080000,-0.0003392616,-0.0184568300,-0.0186148800
0.100000,-0.0042034600,-0.0173503000,-0.0171665800
0.120000,-0.0072666760,-0.0196335800,-0.0135100500
0.140000,-0.0076999680,-0.0118775700,-0.0107189800
0.160000,-0.0080635330,-0.0026084550,-0.0019169970
0.180000,-0.0130141800,-0.0042552970,0.0059094800
0.200000,-0.0160847500,-0.0091110810,0.0015119600
0.220000,-0.0113204000,-0.0102539700,-0.0037532040
0.240000,-0.0073713620,-0.0117817700,-0.0056443810
0.260000,-0.0023598090,-0.0134628700,-0.0082662030
0.280000,0.0025777920,-0.0117573700,-0.0091869560
0.300000,0.0018020830,-0.0070332460,-0.0145058700
0.320000,0.0064695120,-0.0045731050,-0.0228695700
0.340000,0.0127311600,-0.0154511700,-0.0221795900
0.360000,0.0108025600,-0.0298814700,-0.0173780600
0.380000,0.0111459900,-0.0279959600,-0.0152137100
0.400000,0.0190224700,-0.0218059400,-0.0126434600
0.420000,0.0225540100,-0.0254791000,-0.0089192420
0.440000,0.0105744900,-0.0353283800,-0.0040419980
0.460000,-0.0009695096,-0.0402735700,-0.0045129160
0.480000,0.0046522710,-0.0160764000,-0.0102653500
0.500000,0.0104550400,0.0115633500,-0.0101658500
0.520000,0.0080067060,-0.0088066040,-0.0086122210
0.540000,0.0041366090,-0.0273023300,-0.0103432900
0.560000,-0.0038040610,-0.0053721700,-0.0091368640
0.580000,-0.0055024500,-0.0009362725,-0.0053145010
0.600000,0.0033657440,-0.0136503900,-0.0024971630
0.620000,0.0075773280,-0.0116593300,-0.0073270620
0.640000,0.0081471870,-0.0046898710,-0.0187352500
0.660000,0.0085485640,0.0030741710,-0.0223852800
0.680000,0.0086877320,-0.0035396330,-0.0152500000
0.700000,0.0131714500,-0.0156422200,-0.0060936850
0.720000,0.0143718600,-0.0117452700,-0.0018301350
0.740000,0.0103081000,-0.0096651850,0.0002961514
0.760000,0.0055470090,-0.0083364200,0.0070715370
