seconds_elapsed,z,y,x
0.020000,-0.9159417000,-0.3958058000,-0.1267587000
0.040000,-0.9185822000,-0.3982532000,-0.1277537000
0.060000,-0.9206319000,-0.3963896000,-0.1249661000
0.080000,-0.9260735000,-0.3931103000,-0.1206124000
0.100000,-0.9258304000,-0.3916058000,-0.1201417000
0.120000,-0.9222017000,-0.3926231000,-0.1213414000
0.140000,-0.9214229000,-0.3958205000,-0.1208936000
0.160000,-0.9187012000,-0.3949073000,-0.1215848000
0.180000,-0.9197452000,-0.3952635000,-0.1227079000
0.200000,-0.9225477000,-0.3987098000,-0.1221772000
0.220000,-0.9220116000,-0.3968739000,-0.1224131000
0.240000,-0.9240155000,-0.3954983000,-0.1241623000
0.260000,-0.9239784000,-0.3954666000,-0.1258488000
0.280000,-0.9209138000,-0.3935520000,-0.1269721000
0.300000,-0.9207496000,-0.3949979000,-0.1277829000
0.320000,-0.9203633000,-0.3965709000,-0.1270900000
0.340000,-0.9190286000,-0.3972464000,-0.1245330000
0.360000,-0.9175793000,-0.3983838000,-0.1228292000
0.380000,-0.9167951000,-0.3993199000,-0.1225737000
0.400000,-0.9177413000,-0.4023368000,-0.1245058000
0.420000,-0.9176628000,-0.4020155000,-0.1274372000
0.440000,-0.9187541000,-0.4006380000,-0.1257504000
0.460000,-0.9203032000,-0.4033330000,-0.1241953000
0.480000,-0.9191221000,-0.4020245000,-0.1273618000
0.500000,-0.9175095000,-0.3989232000,-0.1285770000
0.520000,-0.9112051000,-0.3998392000,-0.1282822000
0.540000,-0.9039744000,-0.4008107000,-0.1285712000
0.560000,-0.9072137000,-0.4016153000,-0.1275669000
0.580000,-0.9127034000,-0.4031801000,-0.1271948000
0.600000,-0.9142751000,-0.4035760000,-0.1262417000
0.620000,-0.9184545000,-0.4042270000,-0.1243638000
0.640000,-0.9233894000,-0.4071066000,-0.1251023000
0.660000,-0.9265340000,-0.4077259000,-0.1272732000
0.680000,-0.9226774000,-0.4065581000,-0.1280907000
0.700000,-0.9128225000,-0.4086621000,-0.1278831000
0.720000,-0.9117970000,-0.4086561000,-0.1276411000
0.740000,-0.9118023000,-0.4061872000,-0.1279289000
0.760000,-0.9091705000,-0.4072677000,-0.1286321000
0.780000,-0.9159954000,-0.4101969000,-0.1282545000
0.800000,-0.9173783000,-0.4132137000,-0.1267170000
0.820000,-0.9129945000,-0.4156731000,-0.1260898000
0.840000,-0.9150425000,-0.4164043000,-0.1273393000
0.860000,-0.9130926000,-0.4134739000,-0.1282978000
0.880000,-0.9112069000,-0.4089830000,-0.1279744000
0.900000,-0.9134067000,-0.4081760000,-0.1294521000
0.920000,-0.9120735000,-0.4071401000,-0.1313077000
0.940000,-0.9113544000,-0.4060613000,-0.1305976000
0.960000,-0.9116427000,-0.4085591000,-0.1300399000
0.980000,-0.9124148000,-0.4083266000,-0.1298838000
1.000000,-0.9146285000,-0.4060279000,-0.1288950000
1.020000,-0.9131607000,-0.4054698000,-0.1291086000
1.040000,-0.9119390000,-0.4051155000,-0.1305661000
1.060000,-0.9147083000,-0.4064383000,-0.1314131000
1.080000,-0.9156979000,-0.4081411000,-0.1311461000
1.100000,-0.9143221000,-0.4093936000,-0.1295087000
1.120000,-0.9134721000,-0.4095784000,-0.1286781000
1.140000,-0.9141954000,-0.4084637000,-0.1303554000
1.160000,-0.9159738000,-0.4102336000,-0.1309441000
1.180000,-0.9174994000,-0.4107751000,-0.1303457000
1.200000,-0.9196081000,-0.4088492000,-0.1302822000
1.220000,-0.9210154000,-0.4080476000,-0.1287392000
1.240000,-0.9188261000,-0.4063809000,-0.1272256000
1.260000,-0.9140988000,-0.4070746000,-0.1276137000
1.280000,-0.9110907000,-0.4094334000,-0.1273938000
1.300000,-0.9109278000,-0.4107288000,-0.1240944000
1.320000,-0.9110291000,-0.4112575000,-0.1216958000
1.340000,-0.9115942000,-0.4081460000,-0.1256126000
1.360000,-0.9134656000,-0.4059640000,-0.1295410000
1.380000,-0.9172744000,-0.4070123000,-0.1277859000
1.400000,-0.9211075000,-0.4072008000,-0.1271103000
1.420000,-0.9207957000,-0.4070097000,-0.1295262000
1.440000,-0.9182712000,-0.4077268000,-0.1302342000
1.460000,-0.9142608000,-0.4086136000,-0.1305743000
1.480000,-0.9089863000,-0.4074559000,-0.1307542000
1.500000,-0.9065438000,-0.4069253000,-0.1290799000
1.520000,-0.9068003000,-0.4098135000,-0.1281431000
1.540000,-0.9081288000,-0.4112587000,-0.1277434000
1.560000,-0.9086306000,-0.4077589000,-0.1284347000
1.580000,-0.9088879000,-0.4039154000,-0.1296780000
1.600000,-0.9119948000,-0.4053886000,-0.1280952000
1.620000,-0.9151077000,-0.4065512000,-0.1274837000
1.640000,-0.9155617000,-0.4047553000,-0.1288946000
1.660000,-0.9162238000,-0.4057312000,-0.1293722000
1.680000,-0.9175617000,-0.4060853000,-0.1294815000
1.700000,-0.9171743000,-0.4059079000,-0.1296499000
1.720000,-0.9193180000,-0.4076297000,-0.1302099000
1.740000,-0.9226622000,-0.4069283000,-0.1299942000
1.760000,-0.9197937000,-0.4065844000,-0.1302938000
1.780000,-0.9171134000,-0.4073448000,-0.1310073000
1.800000,-0.9151566000,-0.4067002000,-0.1291070000
1.820000,-0.9122221000,-0.4069862000,-0.1279165000
1.840000,-0.9144770000,-0.4070543000,-0.1277902000
1.860000,-0.9154532000,-0.4069507000,-0.1274605000
1.880000,-0.9179120000,-0.4079905000,-0.1281116000
1.900000,-0.9229167000,-0.4085227000,-0.1276639000
1.920000,-0.9183010000,-0.4084430000,-0.1272755000
1.940000,-0.9131469000,-0.4081841000,-0.1262809000
1.960000,-0.9118050000,-0.4081723000,-0.1241844000
1.980000,-0.9097629000,-0.4073787000,-0.1250944000
2.000000,-0.9116571000,-0.4056200000,-0.1263537000
2.020000,-0.9126373000,-0.4059921000,-0.1262862000
2.040000,-0.9155554000,-0.4092294000,-0.1267970000
2.060000,-0.9216412000,-0.4116858000,-0.1271547000
2.080000,-0.9189800000,-0.4084800000,-0.1278178000
2.100000,-0.9162374000,-0.4034831000,-0.1271597000
2.120000,-0.9192906000,-0.4037629000,-0.1257407000
2.140000,-0.9189139000,-0.4047031000,-0.1266472000
2.160000,-0.9191406000,-0.4039863000,-0.1275493000
2.180000,-0.9202122000,-0.4051836000,-0.1277450000
2.200000,-0.9190198000,-0.4058943000,-0.1276904000
2.220000,-0.9204721000,-0.4054937000,-0.1257947000
2.240000,-0.9203130000,-0.4058838000,-0.1244354000
2.260000,-0.9151386000,-0.4073246000,-0.1249673000
2.280000,-0.9113677000,-0.4085922000,-0.1252112000
2.300000,-0.9136179000,-0.4066986000,-0.1250870000
2.320000,-0.9168357000,-0.4047735000,-0.1258282000
2.340000,-0.9141010000,-0.4065065000,-0.1269571000
2.360000,-0.9128117000,-0.4072598000,-0.1273280000
2.380000,-0.9156926000,-0.4049099000,-0.1285212000
2.400000,-0.9183384000,-0.4035052000,-0.1316620000
2.420000,-0.9238288000,-0.4041872000,-0.1341520000
2.440000,-0.9248055000,-0.4058472000,-0.1338030000
2.460000,-0.9204834000,-0.4111319000,-0.1326592000
2.480000,-0.9209012000,-0.4167493000,-0.1333442000
2.500000,-0.9218613000,-0.4126721000,-0.1325803000
2.520000,-0.9216927000,-0.4068485000,-0.1302871000
2.540000,-0.9195023000,-0.4099854000,-0.1303199000
2.560000,-0.9139968000,-0.4103800000,-0.1294060000
