seconds_elapsed,z,y,x
0.020000,-0.0709017800,0.0692485500,-0.1061636000
0.040000,-0.0619885100,0.0621439600,-0.1234480000
0.060000,-0.0563362000,0.0546569000,-0.1300818000
0.080000,-0.0588438300,0.0544113900,-0.1270804000
0.100000,-0.0591965900,0.0509153000,-0.1205459000
0.120000,-0.0567833400,0.0444685900,-0.1173740000
0.140000,-0.0551421800,0.0429553300,-0.1266311000
0.160000,-0.0475468500,0.0492733400,-0.1373896000
0.180000,-0.0428706000,0.0590629900,-0.1388667000
0.200000,-0.0411176700,0.0644958000,-0.1437274000
0.220000,-0.0394251100,0.0739783400,-0.1650115000
0.240000,-0.0473794600,0.0872356500,-0.1887089000
0.260000,-0.0531031500,0.0886289300,-0.1974104000
0.280000,-0.0365975300,0.0790246300,-0.1896926000
0.300000,-0.0198434500,0.0748615400,-0.1780756000
0.320000,-0.0356670700,0.0784195400,-0.1708510000
0.340000,-0.0563598800,0.0800205600,-0.1597811000
0.360000,-0.0555314900,0.0798112000,-0.1461809000
0.380000,-0.0530414900,0.0819273400,-0.1229435000
0.400000,-0.0487464500,0.0892495900,-0.1047058000
0.420000,-0.0359748300,0.0931182400,-0.1099033000
0.440000,-0.0217567300,0.0843680100,-0.0987812400
0.460000,-0.0174112200,0.0779475800,-0.0874152600
0.480000,-0.0297144900,0.0822818300,-0.1053704000
0.500000,-0.0361800900,0.0868245000,-0.1174927000
0.520000,-0.0325473800,0.0904817200,-0.1211587000
0.540000,-0.0342534000,0.0951877100,-0.1101838000
0.560000,-0.0356948400,0.0954683000,-0.0796925900
0.580000,-0.0351336400,0.1000937000,-0.0506448300
0.600000,-0.0315985000,0.1132252000,-0.0227645100
0.620000,-0.0201271000,0.1142978000,-0.0074851760
0.640000,-0.0030902040,0.1079306000,0.0003105726
0.660000,0.0080743900,0.1094846000,0.0192829000
0.680000,0.0131132300,0.1095427000,0.0397308500
0.700000,0.0290416200,0.1105361000,0.0562919300
0.720000,0.0499980300,0.1130451000,0.0690879600
0.740000,0.0754814900,0.1108310000,0.0853864100
0.760000,0.1054366000,0.1143401000,0.1032348000
0.780000,0.1115084000,0.1204575000,0.1121190000
0.800000,0.1014022000,0.1203405000,0.1217003000
0.820000,0.0998383500,0.1193817000,0.1365108000
0.840000,0.1113071000,0.1153127000,0.1522036000
0.860000,0.1387598000,0.1093712000,0.1578570000
0.880000,0.1676870000,0.1136021000,0.1733116000
0.900000,0.1803368000,0.1216789000,0.2351417000
0.920000,0.1867782000,0.1294634000,0.3096567000
0.940000,0.2044055000,0.1489469000,0.3652639000
0.960000,0.2270128000,0.1645734000,0.4085129000
0.980000,0.2555710000,0.1757285000,0.4345722000
1.000000,0.2906183000,0.2091566000,0.4368068000
1.020000,0.3107551000,0.2325509000,0.4094190000
1.040000,0.3242679000,0.2318424000,0.3883605000
1.060000,0.3377886000,0.2504766000,0.4008632000
1.080000,0.3447463000,0.2618677000,0.4249916000
1.100000,0.3481105000,0.2348874000,0.4648313000
1.120000,0.3362385000,0.2068974000,0.5009698000
1.140000,0.3255899000,0.1930116000,0.5022387000
1.160000,0.3263390000,0.1879366000,0.5098264000
1.180000,0.3111642000,0.1739794000,0.5267011000
1.200000,0.2768071000,0.1360033000,0.4942636000
1.220000,0.2353194000,0.0996961700,0.4327440000
1.240000,0.2034206000,0.0678414800,0.3701942000
1.260000,0.1840223000,0.0407640500,0.2889264000
1.280000,0.1643221000,0.0341569200,0.2306303000
1.300000,0.1432088000,0.0203423200,0.2162776000
