seconds_elapsed,z,y,x
0.020000,-0.4050135000,-0.5938601000,0.7314544000
0.040000,-0.3342452000,-0.6545177000,0.7040333000
0.060000,-0.3012529000,-0.6762925000,0.8896859000
0.080000,-0.4004970000,-0.6027180000,1.2980670000
0.100000,-0.4911032000,-0.4522807000,1.5150000000
0.120000,-0.4104531000,-0.2837620000,1.2052610000
0.140000,-0.2396122000,-0.1793708000,0.8278390000
0.160000,-0.1303703000,-0.2175059000,0.7344814000
0.180000,-0.1360321000,-0.2913576000,0.6642136000
0.200000,-0.1868517000,-0.3094699000,0.6012940000
0.220000,-0.1901297000,-0.3354161000,0.6503864000
0.240000,-0.1839851000,-0.3400327000,0.6703940000
0.260000,-0.1737400000,-0.3223729000,0.7321033000
0.280000,-0.1161589000,-0.3331265000,0.8485552000
0.300000,-0.1047081000,-0.3331205000,0.8226346000
0.320000,-0.0860925100,-0.3520797000,0.8208436000
0.340000,-0.0310791600,-0.3755664000,0.9335912000
0.360000,-0.0659552400,-0.3527138000,0.9491002000
0.380000,-0.0725459800,-0.3283165000,0.9502892000
0.400000,-0.0537175300,-0.3017348000,1.0031600000
0.420000,-0.0903724800,-0.3221980000,0.9999899000
0.440000,-0.0813400800,-0.4248350000,1.0544600000
0.460000,-0.0747309600,-0.5185185000,1.2138430000
0.480000,-0.1138328000,-0.5498730000,1.3111810000
0.500000,-0.2805867000,-0.5892282000,1.3289850000
0.520000,-0.5229364000,-0.7316982000,1.3576420000
0.540000,-0.5210259000,-0.7889062000,1.2971520000
0.560000,-0.4015181000,-0.5886868000,0.9928220000
0.580000,-0.3609309000,-0.3339726000,0.6169813000
0.600000,-0.2733910000,-0.1826478000,0.5378694000
0.620000,-0.2662439000,-0.1778473000,0.7365446000
0.640000,-0.3358762000,-0.3431365000,0.8990690000
0.660000,-0.2843023000,-0.5674910000,0.9706394000
0.680000,-0.2327563000,-0.6434199000,0.9307305000
0.700000,-0.2050103000,-0.4672676000,0.7808827000
0.720000,-0.2028152000,-0.2691883000,0.7527976000
0.740000,-0.2717042000,-0.2212192000,0.7832438000
0.760000,-0.2351467000,-0.2236479000,0.7873712000
0.780000,-0.2074837000,-0.2469515000,0.8636169000
0.800000,-0.2475962000,-0.2627380000,0.8878628000
0.820000,-0.2075525000,-0.2406680000,0.9042390000
0.840000,-0.2109372000,-0.2121845000,0.9537129000
0.860000,-0.2017681000,-0.1928348000,0.9639330000
0.880000,-0.1516194000,-0.2251084000,1.0132510000
0.900000,-0.1302202000,-0.2706754000,1.0119910000
0.920000,-0.0726301000,-0.2551993000,0.9750391000
0.940000,-0.1091240000,-0.1815005000,0.9880933000
0.960000,-0.1852193000,-0.0840952500,1.0092950000
0.980000,-0.2128012000,-0.0850785500,1.1175330000
1.000000,-0.2823324000,-0.2653829000,1.2662030000
1.020000,-0.3152371000,-0.4648384000,1.3023800000
1.040000,-0.3738670000,-0.5163460000,1.1131220000
1.060000,-0.4771713000,-0.5316179000,0.8027540000
1.080000,-0.4679756000,-0.6218713000,0.7214957000
1.100000,-0.3867755000,-0.6982672000,0.9123398000
1.120000,-0.3443795000,-0.7199649000,1.1992480000
1.140000,-0.3827764000,-0.6082112000,1.3709630000
1.160000,-0.4027370000,-0.3370356000,1.1873090000
1.180000,-0.3015178000,-0.1729656000,0.8821947000
1.200000,-0.1854750000,-0.2068956000,0.7918129000
1.220000,-0.1664393000,-0.2770467000,0.7472421000
1.240000,-0.1956996000,-0.3164198000,0.6824912000
1.260000,-0.1875798000,-0.3237195000,0.6974898000
1.280000,-0.1755270000,-0.3386145000,0.6700922000
1.300000,-0.1767270000,-0.3305984000,0.6658169000
1.320000,-0.1330804000,-0.2538852000,0.7403398000
1.340000,-0.0845002600,-0.1975044000,0.7563041000
1.360000,-0.0796328800,-0.2177319000,0.7539137000
1.380000,-0.0837973200,-0.2763921000,0.7647735000
1.400000,-0.0727105500,-0.3335446000,0.8427646000
1.420000,-0.0768005600,-0.3799992000,0.9888001000
1.440000,-0.1006694000,-0.3731467000,1.0609750000
1.460000,-0.0977931000,-0.3481957000,1.0945320000
1.480000,-0.0743354400,-0.4007114000,1.0956270000
1.500000,-0.0343167300,-0.4901742000,1.0882430000
1.520000,-0.0157319800,-0.6009565000,1.1704330000
1.540000,-0.1524157000,-0.6820423000,1.2520590000
1.560000,-0.4222072000,-0.7269685000,1.2781540000
1.580000,-0.5966566000,-0.7927329000,1.2269180000
1.600000,-0.5473756000,-0.6693599000,1.0314160000
1.620000,-0.4237365000,-0.4008907000,0.7686399000
1.640000,-0.3497297000,-0.2305905000,0.6585812000
1.660000,-0.2909204000,-0.1602688000,0.7463975000
1.680000,-0.2936069000,-0.2571328000,0.7940928000
1.700000,-0.2852577000,-0.4147012000,0.8160577000
1.720000,-0.2135120000,-0.4873446000,0.8810945000
1.740000,-0.2265520000,-0.4658684000,0.8065640000
1.760000,-0.2367275000,-0.3330291000,0.7134097000
1.780000,-0.2063482000,-0.2890207000,0.7078240000
1.800000,-0.2346593000,-0.3012752000,0.7201639000
1.820000,-0.2371726000,-0.2715575000,0.8306198000
1.840000,-0.2429551000,-0.2939917000,0.9251664000
1.860000,-0.2572013000,-0.2606079000,0.9329552000
1.880000,-0.2214718000,-0.2190506000,0.9416740000
1.900000,-0.2070034000,-0.1950072000,0.9417069000
1.920000,-0.1974563000,-0.1531137000,0.9706546000
1.940000,-0.1750740000,-0.2015460000,1.0035270000
1.960000,-0.1228573000,-0.2132632000,1.0075130000
1.980000,-0.0397693100,-0.1639052000,0.9902373000
2.000000,-0.0600892100,-0.1424240000,0.9944194000
2.020000,-0.2001007000,-0.1712771000,1.1328610000
2.040000,-0.3470667000,-0.3258169000,1.2977630000
2.060000,-0.4309944000,-0.5063480000,1.2784170000
2.080000,-0.4907809000,-0.5855296000,1.0344650000
2.100000,-0.5527888000,-0.5871852000,0.7499487000
2.120000,-0.5237666000,-0.6138425000,0.7247540000
2.140000,-0.4445464000,-0.6243828000,1.0455410000
2.160000,-0.4058236000,-0.5673775000,1.4279150000
2.180000,-0.4034814000,-0.5442464000,1.4928900000
2.200000,-0.4219845000,-0.4113259000,1.3037270000
2.220000,-0.3572408000,-0.1904363000,1.0848550000
2.240000,-0.2341545000,-0.1594505000,0.8144743000
2.260000,-0.1703104000,-0.2470970000,0.6214159000
2.280000,-0.1645712000,-0.3078227000,0.5953538000
2.300000,-0.2078245000,-0.3440919000,0.5846901000
2.320000,-0.2138213000,-0.3924542000,0.6123768000
2.340000,-0.1907188000,-0.4143970000,0.7019375000
2.360000,-0.1858293000,-0.3796968000,0.7399236000
2.380000,-0.1212210000,-0.3527053000,0.7458782000
2.400000,-0.0683364200,-0.3254762000,0.7445703000
2.420000,-0.0545223600,-0.3376280000,0.7406218000
2.440000,-0.0435360000,-0.3607009000,0.7952735000
2.460000,-0.0725498100,-0.3163938000,0.9031945000
2.480000,-0.1153890000,-0.2898127000,1.0299040000
2.500000,-0.1460965000,-0.2936189000,1.0808870000
2.520000,-0.0928988200,-0.3405750000,1.0809710000
2.540000,0.0113700500,-0.4615456000,1.1644790000
2.560000,0.0278880800,-0.5901413000,1.2106100000
