seconds_elapsed,z,y,x
0.020000,-0.4802749000,-0.3853810000,-1.0277480000
0.040000,-0.4400782000,-0.5676024000,-0.6903665000
0.060000,-0.1966521000,-0.2920465000,-0.1836767000
0.080000,0.1009754000,0.3771183000,0.2455733000
0.100000,0.1692042000,0.9187210000,0.3336848000
0.120000,0.2210909000,0.7290042000,0.0503074400
0.140000,0.5032519000,0.1226810000,-0.2124599000
0.160000,0.6965351000,0.1396626000,-0.1881445000
0.180000,0.6138890000,0.1587326000,-0.2269311000
0.200000,0.4681909000,0.0596705800,-0.4328310000
0.220000,0.3371227000,0.3666552000,-0.4763019000
0.240000,0.2500301000,0.3195288000,-0.4451581000
0.260000,0.3005016000,0.2310872000,-0.4014288000
0.280000,0.3170757000,0.2218949000,-0.2919171000
0.300000,0.1892022000,-0.0426930900,-0.3279407000
0.320000,0.0476088600,0.0102037800,-0.3629230000
0.340000,-0.1143717000,0.1053686000,-0.2696181000
0.360000,-0.2414659000,0.2697546000,-0.2788963000
0.380000,-0.2337737000,0.4456577000,-0.3872278000
0.400000,-0.1282285000,0.0915483200,-0.5094412000
0.420000,0.0748955100,-0.2797214000,-0.4567754000
0.440000,0.1805397000,-0.3421449000,-0.0657076900
0.460000,0.0489179400,0.0141775800,0.3219847000
0.480000,-0.0200847900,0.3796293000,0.3660477000
0.500000,0.1493677000,0.2520683000,0.3771476000
0.520000,0.3633100000,0.4294136000,0.8089998000
0.540000,0.4069003000,1.0265400000,1.1590990000
0.560000,0.2449001000,1.2145100000,0.7624055000
0.580000,0.0222915000,0.7668244000,0.0812456500
0.600000,-0.0774590400,-0.0220953900,-0.3553975000
0.620000,-0.0785467800,-0.6763220000,-0.4911607000
0.640000,-0.1461038000,-0.7123038000,-0.2289122000
0.660000,-0.2730542000,-0.2126683000,0.2067470000
0.680000,-0.3941675000,0.0272447800,0.4682111000
0.700000,-0.4854789000,-0.1877435000,0.4718238000
0.720000,-0.5160115000,-0.4491590000,0.2026355000
0.740000,-0.4836826000,-0.6073485000,-0.0357087700
0.760000,-0.3586249000,-0.5620225000,0.0502688100
0.780000,-0.1736025000,-0.4293866000,0.2162963000
0.800000,-0.0297941800,-0.3503954000,0.3185710000
0.820000,0.0187512500,-0.3157221000,0.3804355000
0.840000,0.0553357300,-0.3428422000,0.3723636000
0.860000,0.1375800000,-0.3236888000,0.4031726000
0.880000,0.1232572000,-0.2095207000,0.4040450000
0.900000,0.0476963300,-0.0240103300,0.3772519000
0.920000,-0.0074942830,0.0973261200,0.4611358000
0.940000,-0.1133015000,-0.0122128800,0.4807662000
0.960000,-0.1809490000,-0.1658748000,0.2963750000
0.980000,-0.1969446000,-0.1787122000,-0.0115035900
1.000000,-0.2214807000,-0.0926895600,-0.2073035000
1.020000,-0.2600014000,-0.0416221400,-0.2258192000
1.040000,-0.3925850000,-0.3143605000,-0.4359453000
1.060000,-0.5019346000,-0.7905719000,-0.7890270000
1.080000,-0.4392128000,-0.8869958000,-0.7502953000
1.100000,-0.3419372000,-0.4522662000,-0.2534003000
1.120000,-0.2796384000,0.3071349000,0.3482162000
1.140000,-0.1771874000,0.9001030000,0.6128513000
1.160000,-0.1217916000,0.7226433000,0.3865611000
1.180000,0.0314798300,0.1477917000,0.2177149000
1.200000,0.4908080000,-0.1600819000,0.3008488000
1.220000,0.6878230000,-0.1754862000,0.2326296000
1.240000,0.4364613000,0.0271570100,0.1125632000
1.260000,0.3004633000,0.2007437000,-0.0113909600
1.280000,0.2267114000,0.3106127000,-0.1300906000
1.300000,0.1753478000,0.4492365000,-0.0356624900
1.320000,0.2695265000,0.2785199000,-0.0623865200
1.340000,0.2677888000,-0.0183804400,-0.2044198000
1.360000,0.2322135000,-0.1876638000,-0.2784089000
1.380000,0.2046422000,-0.2750168000,-0.4155587000
1.400000,0.0938117100,-0.0398423600,-0.4211112000
1.420000,0.0002626457,0.2889281000,-0.4724200000
1.440000,-0.0530563700,0.4231792000,-0.6456772000
1.460000,-0.0000357579,0.3013949000,-0.6191824000
1.480000,0.1356877000,-0.0062389140,-0.4399818000
1.500000,0.2127068000,-0.0562756000,-0.0412073800
1.520000,0.1984635000,0.0284293300,0.3595154000
1.540000,0.1717717000,0.1417898000,0.4449010000
1.560000,0.2811572000,0.4089749000,0.6742211000
1.580000,0.3693138000,0.6429478000,1.1905170000
1.600000,0.2905823000,0.9549135000,1.2858170000
1.620000,0.2068399000,1.0219590000,0.7063478000
1.640000,0.0508060700,0.4709614000,-0.0301028000
1.660000,-0.1842979000,-0.1798322000,-0.5664672000
1.680000,-0.2509510000,-0.4077357000,-0.6250773000
1.700000,-0.2014266000,-0.2244010000,-0.2436065000
1.720000,-0.2477425000,-0.1457696000,0.0541053600
1.740000,-0.3508784000,-0.2362645000,0.1776400000
1.760000,-0.4180239000,-0.2667460000,0.1536021000
1.780000,-0.4330872000,-0.5135582000,0.0726901900
1.800000,-0.3164329000,-0.6750568000,0.1276826000
1.820000,-0.1590054000,-0.4488561000,0.2172245000
1.840000,-0.1035399000,-0.2589638000,0.3902094000
1.860000,-0.0779020800,-0.2001020000,0.4549550000
1.880000,-0.0484976100,-0.2506197000,0.3543477000
1.900000,0.0059575250,-0.3588833000,0.3952188000
1.920000,0.0496882500,-0.3205480000,0.3685350000
1.940000,0.0188227600,-0.1310190000,0.3179696000
1.960000,-0.0268240800,0.1400491000,0.3981680000
1.980000,-0.1367592000,0.1376021000,0.3727314000
2.000000,-0.2867477000,-0.2688898000,0.2192985000
2.020000,-0.2886151000,-0.4984941000,-0.0267529600
2.040000,-0.1345298000,-0.2207273000,-0.1568296000
2.060000,-0.0431637100,0.1335506000,-0.1361778000
2.080000,-0.1962074000,0.0650816900,-0.3280673000
2.100000,-0.4252872000,-0.2015124000,-0.6677727000
2.120000,-0.4729791000,-0.3829084000,-0.7714833000
2.140000,-0.3756926000,-0.4411805000,-0.4065185000
2.160000,-0.1842258000,-0.0141033500,0.1103696000
2.180000,0.0685603600,0.6445101000,0.2156040000
2.200000,0.1832672000,0.8719030000,0.0198726700
2.220000,0.3085485000,0.6651856000,-0.1606976000
2.240000,0.6565727000,0.3589307000,-0.3197192000
2.260000,0.7672168000,0.1811343000,-0.4719845000
2.280000,0.5518911000,0.0370087900,-0.6100490000
2.300000,0.4591886000,0.0825386700,-0.6577837000
2.320000,0.3828728000,0.2871225000,-0.5455483000
2.340000,0.2635992000,0.2642605000,-0.3932804000
2.360000,0.2572745000,0.2316217000,-0.3371584000
2.380000,0.2362672000,0.0997281900,-0.3282076000
2.400000,0.1843532000,-0.1447972000,-0.3184958000
2.420000,0.1037412000,-0.1562547000,-0.2982352000
2.440000,-0.0048233080,-0.0718772700,-0.2721286000
2.460000,-0.0406496800,0.2117413000,-0.3957046000
2.480000,-0.0271962200,0.4111993000,-0.5883993000
2.500000,0.0296639800,0.1880834000,-0.5766199000
2.520000,0.0589215100,0.0786204500,-0.3621857000
2.540000,-0.0314748400,0.3035422000,-0.0443195000
2.560000,-0.0988235800,0.4368884000,0.1802428000
