seconds_elapsed,z,y,x
0.020000,0.0170320900,-0.0144338800,0.0104131700
0.040000,0.0228731800,-0.0134388700,0.0094137200
0.060000,0.0177126900,-0.0122589600,0.0120518300
0.080000,0.0079690110,-0.0151106600,0.0125965700
0.100000,0.0100510800,-0.0186005100,0.0099531990
0.120000,0.0073179210,-0.0190293800,0.0093025190
0.140000,0.0021251540,-0.0188351200,0.0028852260
0.160000,0.0079935500,-0.0151157800,-0.0068995190
0.180000,0.0089430230,-0.0051287930,-0.0086120300
0.200000,0.0043869290,0.0031779530,-0.0073807970
0.220000,0.0024160320,0.0016421000,-0.0072198990
0.240000,0.0025085460,-0.0034995250,-0.0044836780
0.260000,0.0032175720,-0.0016052380,-0.0022022560
0.280000,-0.0006842520,0.0030235450,-0.0042212590
0.300000,-0.0031027590,0.0052643660,-0.0086284630
0.320000,-0.0017406150,-0.0003532723,-0.0100641800
0.340000,-0.0010148580,-0.0110948900,-0.0041687100
0.360000,0.0003041721,-0.0093911730,0.0028531820
0.380000,0.0009935077,-0.0082426560,0.0013203560
0.400000,0.0024406970,-0.0178518900,-0.0013158970
0.420000,0.0040849080,-0.0223361800,0.0007469271
0.440000,0.0092120230,-0.0249434400,0.0002863833
0.460000,0.0165928100,-0.0249596700,0.0007811745
0.480000,0.0108484300,-0.0237376700,0.0032340570
0.500000,0.0001381804,-0.0270055300,0.0032692630
0.520000,-0.0014126000,-0.0250013800,0.0036542090
0.540000,-0.0017672430,-0.0235992700,0.0027913850
0.560000,-0.0058375390,-0.0223308300,0.0016256940
0.580000,-0.0096697660,-0.0142413400,-0.0007990341
0.600000,-0.0033492850,-0.0098573290,-0.0039173460
0.620000,0.0073666280,-0.0123175500,0.0021193940
0.640000,0.0071302050,-0.0209751400,0.0081532340
0.660000,0.0075385380,-0.0292804900,0.0048674440
0.680000,0.0102136100,-0.0289300300,0.0036607800
0.700000,0.0051613250,-0.0234085700,0.0061242060
0.720000,0.0031533610,-0.0181564900,0.0072274280
0.740000,0.0036668060,-0.0192706100,0.0089007000
0.760000,0.0028334720,-0.0230788500,0.0089582140
0.780000,0.0028044060,-0.0249199800,0.0061525360
0.800000,0.0001567664,-0.0245359400,0.0038676140
0.820000,-0.0003563334,-0.0174504100,0.0007226724
0.840000,0.0001282369,-0.0115139800,-0.0011772560
0.860000,0.0025243450,-0.0126718000,-0.0006254718
0.880000,0.0063363630,-0.0126602300,-0.0026613740
0.900000,0.0007579171,-0.0093081520,-0.0041171270
0.920000,-0.0041335060,-0.0083632800,-0.0045752070
0.940000,-0.0032533220,-0.0100745900,-0.0043595780
0.960000,-0.0037670670,-0.0101670500,-0.0021959990
0.980000,-0.0043771860,-0.0107044800,-0.0029089080
1.000000,-0.0059136890,-0.0108758400,-0.0020225720
1.020000,-0.0036463970,-0.0094075990,-0.0026143940
1.040000,0.0003431882,-0.0087334460,-0.0063331410
1.060000,-0.0010482550,-0.0054221080,-0.0017914450
1.080000,-0.0041836880,-0.0024816650,0.0018465620
1.100000,-0.0048455060,-0.0018790070,0.0007663576
1.120000,-0.0019174330,0.0022662970,0.0022227180
1.140000,0.0005572897,0.0116806800,0.0020639200
1.160000,0.0032866790,0.0265533500,0.0018807800
1.180000,0.0034305670,0.0326464700,0.0003242974
1.200000,0.0003806405,0.0164399200,-0.0051682180
1.220000,0.0062924560,-0.0027897870,-0.0106854700
1.240000,0.0115359400,-0.0073207470,-0.0150169900
1.260000,0.0093524410,-0.0059354020,-0.0177131500
1.280000,0.0091831580,-0.0084053970,-0.0197213700
1.300000,0.0074252910,-0.0186856500,-0.0165524500
1.320000,0.0067782650,-0.0343744000,-0.0105643100
1.340000,0.0061024680,-0.0439344900,-0.0117703700
