architecture,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1
cnn1d,0.336480686695279,0.32987992592408744,0.28568376068376067,0.26390374607458694
cnn_gru,0.34334763948497854,0.34413776970836674,0.2611111111111111,0.2554552700195775
cnn_bigru,0.3453505007153076,0.33784019388272735,0.2965811965811966,0.2842053647683301
cnn_lstm,0.3454,0.336,0.3192,0.2993
cnn_bilstm,0.3359,0.3389,0.3013,0.2916
transformer,0.3056,,0.2925,0.2788
dual_branch_bigru,0.4031473533619456,0.4008510271807312,0.294017094017094,0.28110021780019034
