83,25,9,0,1,0,11,0,0,0,0,0,3,0,0,0,0,0
0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,35,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
0,0,1,17,0,10,0,1,0,14,1,0,1,0,0,0,1,0
0,0,0,1,22,14,0,0,0,0,0,0,0,7,0,0,0,0
0,0,0,12,1,7,2,0,0,0,3,0,0,0,0,0,21,0
0,0,1,22,0,2,7,0,1,10,0,0,0,0,0,0,1,0
0,0,0,8,0,24,3,0,0,5,6,0,0,0,0,0,0,0
0,0,0,12,0,3,2,0,0,16,5,5,0,0,0,0,0,0
0,0,0,15,0,5,5,0,1,16,1,0,0,0,0,0,1,0
0,0,0,17,1,1,1,0,1,20,3,0,0,1,0,0,0,0
0,0,0,15,0,14,1,0,0,0,0,13,0,0,0,0,0,0
0,0,4,0,0,0,1,0,0,0,0,0,39,0,0,0,0,0
1,2,3,0,1,0,0,0,0,0,0,0,24,8,2,0,0,1
0,0,8,0,0,0,0,0,0,0,0,0,13,9,6,0,5,0
0,0,0,1,0,2,15,0,1,0,0,0,0,0,0,4,17,0
0,0,0,12,0,2,2,0,0,5,12,1,0,0,0,0,5,0
0,0,0,2,5,0,0,0,0,0,0,0,0,3,0,0,0,28
