feature,sensor,axis,family,normalized_importance
gyro_XMFCC8,gyro,x,mfcc_frequency,0.003660172689706087
gyro_YMFCC9,gyro,y,mfcc_frequency,0.0036232993006706238
accel_XMFCC0,accel,x,mfcc_frequency,0.003555087372660637
gyro_YMFCC10,gyro,y,mfcc_frequency,0.003544166684150696
gyro_ZMFCC8,gyro,z,mfcc_frequency,0.0035143650602549314
gyro_YMFCC12,gyro,y,mfcc_frequency,0.003501275787129998
gyro_XMFCC5,gyro,x,mfcc_frequency,0.0034998818300664425
accel_X8,accel,x,raw_sample_bins,0.0034949304535984993
accel_YMFCC4,accel,y,mfcc_frequency,0.003466877620667219
gyro_XMFCC9,gyro,x,mfcc_frequency,0.0034293553326278925
gyro_ZMFCC3,gyro,z,mfcc_frequency,0.003416710300371051
gyro_YMFCC3,gyro,y,mfcc_frequency,0.003403609851375222
gyro_ZMFCC0,gyro,z,mfcc_frequency,0.0033865731675177813
gyro_Z5,gyro,z,raw_sample_bins,0.0033744245301932096
accel_XMFCC2,accel,x,mfcc_frequency,0.0033721679355949163
accel_Z9,accel,z,raw_sample_bins,0.003371692029759288
gyro_ZMFCC10,gyro,z,mfcc_frequency,0.0033690701238811016
gyro_ZMFCC7,gyro,z,mfcc_frequency,0.0033605811186134815
gyro_YSTANDDEV,gyro,y,standard_deviation,0.00331954681314528
gyro_ZMFCC12,gyro,z,mfcc_frequency,0.0032938015647232533
accel_XMFCC5,accel,x,mfcc_frequency,0.003293719608336687
gyro_ZMFCC5,gyro,z,mfcc_frequency,0.0032800191547721624
gyro_XMFCC10,gyro,x,mfcc_frequency,0.0032763208728283644
gyro_XMFCC1,gyro,x,mfcc_frequency,0.003269167384132743
gyro_XMFCC2,gyro,x,mfcc_frequency,0.0032455690670758486
gyro_YMFCC6,gyro,y,mfcc_frequency,0.0031461743637919426
gyro_XMFCC0,gyro,x,mfcc_frequency,0.0031003826297819614
accel_ZMFCC12,accel,z,mfcc_frequency,0.0030971309170126915
accel_YMFCC2,accel,y,mfcc_frequency,0.003071422455832362
accel_YMFCC11,accel,y,mfcc_frequency,0.003022924065589905
gyro_Z4,gyro,z,raw_sample_bins,0.0029998826794326305
accel_ZMFCC5,accel,z,mfcc_frequency,0.002987556392326951
accel_ZMFCC10,accel,z,mfcc_frequency,0.0029858676716685295
