98,21,4,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,3,5,0,22,2,0,0,14,0,0,0,0,0,0,0,0
0,0,0,1,13,0,0,1,0,0,0,19,0,8,0,0,0,2
0,0,1,2,0,3,8,0,0,0,9,0,0,0,0,0,22,1
0,0,1,12,0,0,6,0,0,20,0,0,0,0,0,0,5,0
0,0,0,1,0,0,3,0,0,24,12,0,0,0,0,0,6,0
0,0,0,3,0,0,6,0,0,11,14,9,0,0,0,0,0,0
0,0,0,23,2,1,10,0,0,1,2,0,0,0,0,1,4,0
0,0,1,1,0,1,7,0,0,24,10,0,1,0,0,0,0,0
0,0,0,15,0,21,1,0,0,2,1,3,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
0,0,4,0,1,0,0,0,0,0,0,0,29,7,1,0,0,0
3,0,4,0,0,0,0,0,0,0,0,0,18,6,9,0,1,0
0,0,0,1,0,4,15,0,3,0,0,0,0,0,0,2,15,0
0,0,0,11,0,0,0,0,1,4,16,1,0,0,0,0,6,0
0,0,0,1,2,1,2,0,0,0,0,0,0,3,0,0,0,29
