model,family,accuracy,macro_f1
feature_ensemble,ensemble,0.5897858319604613,0.5362080101017019
feature_fusion,engineered features,0.5749588138385503,0.5216690878224798
feature_mlp,engineered features,0.5420098846787479,0.48441850118335533
inception_time_final,raw sequence,0.5057692307692307,0.5034710644095873
inception_time,raw sequence,0.4971153846153846,0.5010758398504427
resnet1d,raw sequence,0.482051282051282,0.4786064290121905
deep_conv_lstm,raw sequence,0.4439102564102564,0.4074990477456429
tcn,raw sequence,0.4298076923076923,0.4196883827463976
feature_resnet,engineered features,0.41186161449752884,0.39207804113375017
