activity,precision,recall,f1,support
writing,0.0,0.0,0.0,40
teeth,0.1077,0.1591,0.1284,44
sandwich,0.8333,0.1163,0.2041,43
pasta,0.1964,0.25,0.22,44
catch,0.4375,0.1667,0.2414,42
sitting,0.2673,0.587,0.3673,46
kicking,0.5143,0.8182,0.6316,44
stairs,0.629,0.8864,0.7358,44
walking,0.9444,0.6439,0.7658,132
jogging,0.697,1.0,0.8214,46
standing,0.8372,0.8182,0.8276,44
folding,0.9677,0.7895,0.8696,38
