feature,sensor,axis,family,normalized_importance
accel_ZMFCC3,accel,z,mfcc_frequency,0.003690337063744664
accel_XMFCC1,accel,x,mfcc_frequency,0.003652955638244748
accel_XMFCC5,accel,x,mfcc_frequency,0.0036428060848265886
accel_ZMFCC6,accel,z,mfcc_frequency,0.0036403897684067488
gyro_YMFCC4,gyro,y,mfcc_frequency,0.0036229605320841074
accel_YMFCC4,accel,y,mfcc_frequency,0.0036149562802165747
gyro_XMFCC9,gyro,x,mfcc_frequency,0.0035939770750701427
accel_XMFCC12,accel,x,mfcc_frequency,0.0035934760235249996
gyro_XMFCC10,gyro,x,mfcc_frequency,0.0035831190180033445
gyro_ZMFCC7,gyro,z,mfcc_frequency,0.0035780929028987885
gyro_YMFCC3,gyro,y,mfcc_frequency,0.003568055108189583
gyro_ZMFCC9,gyro,z,mfcc_frequency,0.0035609258338809013
gyro_XMFCC12,gyro,x,mfcc_frequency,0.003517350647598505
gyro_ZMFCC1,gyro,z,mfcc_frequency,0.0035136647056788206
gyro_Z4,gyro,z,raw_sample_bins,0.003491242416203022
accel_Z8,accel,z,raw_sample_bins,0.003469788236543536
accel_YMFCC2,accel,y,mfcc_frequency,0.0034649416338652372
gyro_ZMFCC0,gyro,z,mfcc_frequency,0.003452402539551258
accel_ZMFCC4,accel,z,mfcc_frequency,0.0034483750350773335
accel_YMFCC3,accel,y,mfcc_frequency,0.003434929298236966
gyro_ZMFCC10,gyro,z,mfcc_frequency,0.0034197920467704535
accel_YMFCC9,accel,y,mfcc_frequency,0.00341872894205153
accel_XMFCC4,accel,x,mfcc_frequency,0.0033862905111163855
gyro_ZMFCC3,gyro,z,mfcc_frequency,0.003365087090060115
accel_YMFCC10,accel,y,mfcc_frequency,0.003331075655296445
accel_ZMFCC5,accel,z,mfcc_frequency,0.003318541217595339
accel_ZMFCC0,accel,z,mfcc_frequency,0.003310390282422304
accel_XMFCC7,accel,x,mfcc_frequency,0.003310000989586115
gyro_Y1,gyro,y,raw_sample_bins,0.0032905805855989456
accel_ZMFCC1,accel,z,mfcc_frequency,0.003264392027631402
gyro_ZMFCC8,gyro,z,mfcc_frequency,0.0032128198072314262
accel_ZMFCC2,accel,z,mfcc_frequency,0.0032093189656734467
accel_Y8,accel,y,raw_sample_bins,0.003195984521880746
gyro_XMFCC2,gyro,x,mfcc_frequency,0.0031350250355899334
gyro_XMFCC7,gyro,x,mfcc_frequency,0.0030765319243073463
accel_ZMFCC8,accel,z,mfcc_frequency,0.003061761846765876
accel_ZMFCC11,accel,z,mfcc_frequency,0.003016788512468338
gyro_YMFCC8,gyro,y,mfcc_frequency,0.0030001061968505383
gyro_ZMFCC2,gyro,z,mfcc_frequency,0.0029297873843461275
gyro_ZMFCC12,gyro,z,mfcc_frequency,0.002904176013544202
gyro_XMFCC1,gyro,x,mfcc_frequency,0.0028183660469949245
gyro_XMFCC4,gyro,x,mfcc_frequency,0.0028074970468878746
gyro_XMFCC3,gyro,x,mfcc_frequency,0.002715150825679302
gyro_Z8,gyro,z,raw_sample_bins,0.0026158499531447887
gyro_X7,gyro,x,raw_sample_bins,0.0026061893440783024
gyro_X6,gyro,x,raw_sample_bins,0.0025012469850480556
accel_ZMFCC9,accel,z,mfcc_frequency,0.002437338000163436
gyro_X9,gyro,x,raw_sample_bins,0.0024157974403351545
gyro_Y9,gyro,y,raw_sample_bins,0.0022569862194359303
gyro_X8,gyro,x,raw_sample_bins,0.0021178387105464935
gyro_Z9,gyro,z,raw_sample_bins,0.0020988439209759235
gyro_Z7,gyro,z,raw_sample_bins,0.001997892279177904
