72,32,11,0,1,0,11,0,0,0,0,0,5,0,0,0,0,0
0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,36,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
0,0,1,18,0,9,0,1,0,14,1,0,1,0,0,0,1,0
0,0,0,1,21,15,0,0,0,0,0,0,0,7,0,0,0,0
0,0,0,15,2,6,1,0,0,2,0,0,0,0,0,0,20,0
0,0,0,22,0,2,9,0,0,9,0,1,0,0,0,0,1,0
0,0,0,8,0,24,3,0,0,7,4,0,0,0,0,0,0,0
0,0,0,14,0,3,2,0,0,15,4,5,0,0,0,0,0,0
0,0,0,12,0,4,4,0,1,20,0,2,0,0,0,1,0,0
0,0,0,19,1,1,0,0,1,19,2,0,1,1,0,0,0,0
0,0,0,15,0,11,2,0,0,0,0,15,0,0,0,0,0,0
0,0,5,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0
1,2,3,0,1,0,0,0,0,0,0,0,24,8,2,0,0,1
0,0,8,0,0,0,0,0,0,0,0,0,11,12,3,0,7,0
0,0,0,2,0,2,14,0,1,1,0,0,0,0,0,5,15,0
0,0,0,13,0,2,3,0,0,4,8,1,0,0,0,3,5,0
0,0,0,2,6,0,0,0,0,0,0,0,0,4,0,0,0,26
