66,14,8,0,0,0,11,0,0,0,1,0,31,1,0,0,0,0
0,44,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,0,32,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
0,0,1,3,0,23,4,0,0,1,0,14,0,0,0,0,0,0
0,0,0,1,33,0,0,0,0,0,0,1,0,9,0,0,0,0
0,0,0,7,0,9,0,0,0,0,8,0,0,0,0,0,21,1
0,0,0,21,1,0,7,0,2,8,2,0,0,0,0,1,2,0
0,0,0,2,0,22,1,0,0,2,10,0,0,0,0,0,9,0
0,0,0,15,0,6,2,0,0,3,13,3,0,0,0,0,1,0
0,0,0,20,0,7,2,0,0,2,9,3,0,0,0,0,1,0
0,0,1,20,1,5,4,0,0,1,10,1,0,1,0,0,1,0
0,0,0,5,0,14,1,0,0,0,1,4,0,0,0,0,18,0
0,0,5,0,0,0,0,0,0,0,1,0,37,0,0,1,0,0
1,1,3,0,1,0,0,0,0,0,0,0,24,7,4,0,0,1
2,0,0,1,0,0,0,0,0,0,0,2,15,8,6,0,7,0
0,0,0,5,0,4,18,0,2,0,1,0,0,0,0,0,10,0
0,0,0,5,0,4,0,0,0,1,17,0,0,0,0,0,12,0
0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,33
